id,text
1,The heart of a blue whale is the size of a bumper car.
2,Peanuts are not actually nuts but legumes.
3,A cloud can weigh more than a million pounds.
4,Dead people can get goosebumps.
5,The wood frog can hold its pee for up to eight months.
6,"A bolt of lightning contains enough energy to toast 100,000 slices of bread."
7,The first movie trailer ever shown was in 1913.
8,Fruit flies were the first living creatures sent into space
9,A double rainbow occurs when light is reflected twice inside a raindrop
10,The average lead pencil can draw a line about 35 miles long.
11,Most wasabi used in restaurants is actually horseradish with green food coloring.
12,The inventor of the microwave oven only received 2 dollars for his discovery.
13,The surface of Mars is covered in iron oxide which is why it looks red.
14,A single strand of spider silk is thinner than a human hair but stronger than steel.
15,"The total number of steps in the Eiffel Tower is 1,665."
16,A jiffy is an actual unit of time used in physics.
17,Sharks have been on Earth longer than trees have.
18,The tongue of a blue whale weighs more than an entire elephant.
19,An ostrich's eye is bigger than its brain.
20,There are more possible iterations of a game of chess than there are atoms in the observable universe.
21,The letter Q is the only letter that does not appear in any US state name.
22,Armadillos almost always give birth to identical quadruplets.
23,The fingerprints of koalas are so similar to humans that they have been confused at crime scenes.
24,Sea lions have external ear flaps while seals do not.
25,The national animal of Scotland is the unicorn.
26,A small child could swim through the veins of a blue whale.
27,Tug of war was once an Olympic sport.
28,The smell of freshly cut grass is actually a plant distress call.
29,"Your nose can remember 50,000 different scents."
30,The average person walks the equivalent of five times around the world in their lifetime.
31,The driest place on Earth is in Antarctica.
32,A lightning strike can reach temperatures five times hotter than the surface of the sun.
33,Sloths only poop once a week.
34,The electric chair was invented by a dentist.
35,Human teeth are the only part of the body that cannot heal themselves.
36,The heart of a shrimp is located in its head.
37,Ancient Romans used crushed mouse brains as toothpaste.
38,Russia has a larger surface area than the planet Pluto.
39,The wood pecker can peck 20 times per second.
40,An ant can lift 50 times its own body weight.
41,A cloud can weigh more than a million pounds.
42,The speed of a typical sneeze is about 100 miles per hour.
43,Your brain is constantly eating itself through a process called phagocytosis.
44,The average person spends about two weeks of their life kissing.
45,Human bones are about four times stronger than concrete.
