id,text
1,"Why is it so foggy in San Francisco?

It isn't as foggy as you might think. Spring and Fall are quite temperate, and San Francisco is renowned for it's ""Indian Summer"" in September. However, Mark Twain had a point when he said ""The coldest Winter I ever spent was Summer in San Francisco.""\nThis is because the warm air from inland (where it gets quite hot in the Summer) clashes with the cold air from the surrounding Pacific Ocean and the SF Bay. When that happens, fog forms. Further explanation from http://kids.earth.nasa.gov: ""At night, the ground surface cools by radiating heat to space. Air near the ground cools to the dew point temperature, causing water in the air to condense.""\nSure it's cold, but fog can be quite beautiful and atmospheric. Just look at the pictures on http://www.goldengatephoto.com/sanfran/thefogrollsin.html  Lovely!"
2,"Avoid Search Engine Blacklisting Avoid Search Engine Blacklisting\\The best way to avoid being blacklisted by the search engines is to avoid using some questionable techniques that were once popular to gain high rankings. Even if your website is not blacklisted by using some of the techniques below, it may be penalized (buried in the ...

Avoid Search Engine Blacklisting Avoid Search Engine Blacklisting\\The best way to avoid being blacklisted by the search engines is to avoid using some questionable techniques that were once popular to gain high rankings. Even if your website is not blacklisted by using some of the techniques below, it may be penalized (buried in the ..."
3,"Jones Day

Jones Day is an elite international law firm. The firm currently has 37 offices worldwide and employs over 2400 lawyers making it the third largest law firm in the world. Consistently ranked as one of the most prestigious in the world the firm represents many of the world's largest companies and financial institutions and is best known for its litigation practice. Jones Day has one the highest brand equity among US law firms. The current managing partner Stephen J."
4,"Why do we only drink eggnog during Christmas?

Eggnog is a popular wintertime drink.  We do not serve eggnog only during Christmas.  It is also popular on New Year's day and some serve it on Thanksgiving."
5,"Niederegger

J. G. Niederegger GmbH & Co. KG is a producer of marzipan and sweets. It is based in Lübeck Germany.Niederegger was founded by Johann Georg Niederegger on 1 March 1806 in Lübeck and is since known for their marzipan for about 200 years."
6,"How do I tone my butt? What's the best exercise for butts?

Where do you live?  I have been taking a class called ""Core Fusion"" for almost a year now, and it has been the most effective thing I've done in terms of toning my body up (all over, not just butt).  It is offered at Exhale Spa, which has locations in Boston, New York, Chicago, Venice (CA) and Santa Monica - and I believe they'll be opening up a Dallas location in 2006.  \n\nIf you are not near an Exhale, yoga has a lot of postures that will help you tone your butt muscles (maybe check out a local gym or studio?).  So does Pilates (which I'm not really a fan of - I find it boring).  \n\nThere are also the old ""standbys"" of squats and lunges (you can get added benefit by integrating props or machines - i.e. do the lunges or squats on the Smith Machine - the one that has the bar with adjustable weights that you square on the back of your shoulders while doing the exercises, or stand with your back to the wall, place a physioball behind you and roll it up and down the wall with your back as you squat).  One important thing to remember about squats and lunges is not to let your knees go forward of your ankles - that puts a lot of strain on your knees and sets you up for unpleasant injuries.  \n\nIf you go to the gym, some of the weight machines they should have can be effective butt toners - like the leg/hamstring curl machines."
7,"What is the meaning of life?

Well, from wich perspective do you look at it? In my opinion, physical reality incarnations are done for the purpouse of spiritual growth...""body is a car, soul is a driver, YOU"". Aside from that, I believe all is devine, in other words, all is god, source, as some say it. I also believe that each seek's to reunite with source... :) Take Care, Love and Light"
8,"Which Diet is Best? The One That Works for You By Kathleen Doheny, HealthDay Reporter    HealthDayNews -- Gather together some diners who are trying to lose weight, then sit back and listen to the debate.    Almost anyone who's on a diet -- or at least one that's working -- is convinced his or her plan is the best...

Which Diet is Best? The One That Works for You By Kathleen Doheny, HealthDay Reporter    HealthDayNews -- Gather together some diners who are trying to lose weight, then sit back and listen to the debate.    Almost anyone who's on a diet -- or at least one that's working -- is convinced his or her plan is the best..."
9,"SA Power Networks

SA Power Networks (previously ETSA Utilities) is the operator of the South Australian electricity distribution network delivering electricity from the high voltage transmission network connection points through a network of about 87500 kilometres of powerlines to about 830000 residential and business customers throughout most of South Australia.SA Power Networks is the fifth largest electricity distributor in the Australian National Electricity Market.ETSA Utilities changed its name to SA Power Networks effective 3 September 2012."
10,"De Wendel family

The de Wendel Family is an industrialist family from Lorraine France.In the 19th and 20th centuries the family gained might both industrial and political. As a result they also attracted controversy as an icon of French capitalism. Following the nationalisation of the French steel industry in 1978 they became a successful investment company (Wendel Investissement)."
11,"Mercadona

Mercadona (Valencian: [meɾkaˈðɔna] Spanish: [merkaˈðona]) is a Spanish family owned supermarket chain. Francisco Roig Ballester and his wife Trinidad Alfonso Mocholi founded the company in 1977 which began as a small butcher shop in Valencia. Juan Roig assumed the role of CEO in 1981 and the company has since expanded nationwide. In the 1990s Mr."
12,"Look Communications

Look Communications (NEX: LOK.H) is a telecommunication company that has been in liquidation since November 2009. It was a digital wireless cable internet service and web hosting provider. It was once linked to former crown corporation Teleglobe and Chinese ISP Inter Pacific Online.Founded in 1997 Look's head office was in Milton Ontario though most of its departments and employees were based in its Montreal office."
13,"Tools wrap: Sun, Javalobby, Infravio make moves Officials at Sun Microsystems, Javalobby, and Infravio this week revealed initiatives positioned as advances in either Java development or Web services consumption.

Tools wrap: Sun, Javalobby, Infravio make moves Officials at Sun Microsystems, Javalobby, and Infravio this week revealed initiatives positioned as advances in either Java development or Web services consumption."
14,"Pollutants From Asia Appear on East Coast (AP) AP - Scientists looking into air quality and climate change have found pollutants from as far as Asia over New England and the Atlantic.

Pollutants From Asia Appear on East Coast (AP) AP - Scientists looking into air quality and climate change have found pollutants from as far as Asia over New England and the Atlantic."
15,"Barnegat Fund Management

Barnegat Fund Management Inc is a hedge fund management company based in Hoboken New Jersey which manages the Barnegat Fund a fixed-income relative-value hedge fund. The fund exploits interest-rate anomalies in large financial markets. The financial instruments traded include government bonds interest-rate swaps and futures contracts."
16,"Lilliput Lane

Lilliput Lane founded in 1982 by David Tate is a company known for its extensive range of realistic miniature handmade models of real English and Welsh cottages and scenes. Based in Penrith Cumbria the company has produced models ranging from The Tower of London and Tower Bridge to small fisherman's bothies as seen in the image to the right. The models sell in over 50 countries around the world."
17,"Saudi phone sector gets \$1bn lift A group led by the UAE's Etisalat plans to spend \$1bn (544m) on expansion after winning two mobile phone licences in Saudi Arabia.

Saudi phone sector gets \$1bn lift A group led by the UAE's Etisalat plans to spend \$1bn (544m) on expansion after winning two mobile phone licences in Saudi Arabia."
18,"Which is better for back pain-- ice or heat?

Looks like for the first 72 hours after an back injury or strain, you should use ice to reduce inflammation and pain. After that, heat can be applied or used alternately with ice. If you apply heat too early you could worsen the inflammation. Link from webMD below:"
19,"MSN Adds Movie Downloads and Rentals Microsoft partners with Blockbuster Online, CinemaNow, and MovieTickets.com on one-stop entertainment portal.

MSN Adds Movie Downloads and Rentals Microsoft partners with Blockbuster Online, CinemaNow, and MovieTickets.com on one-stop entertainment portal."
20,"Lignes Aériennes Congolaises

Lignes Aériennes Congolaises (English: Congolese Airlines) also known by its acronym LAC is an airline of the Democratic Republic of the Congo with its head office in Kinshasa and its central administration on the property of N'djili Airport in Kinshasa. The carrier has the latter airport as the base of its flight operations.Along with all other airlines registered in the country the company is banned from flying into any member state of the European Union's bloc."
21,"The Great K5 Limerick Contest Queue submissions being scarce, I suggest we all submit limericks for consideration.  Mod up your favorites.    I'm no poet, so I'll submit a favorite of my childhood:    There was a young woman named Bright,  Who traveled much faster than light    She set out one day  In a relative way    And returned on the previous night.    I'm afraid I don't remember the author.

The Great K5 Limerick Contest Queue submissions being scarce, I suggest we all submit limericks for consideration.  Mod up your favorites.    I'm no poet, so I'll submit a favorite of my childhood:    There was a young woman named Bright,  Who traveled much faster than light    She set out one day  In a relative way    And returned on the previous night.    I'm afraid I don't remember the author."
22,"Unprecedented Electronic Digital Net for Olympics By MIRON VAROUHAKIS      ATHENS, Greece (AP) -- If you're planning on attending this month's Olympic Games, you'd best be careful what you say and do in public.    Software will be watching and listening...

Unprecedented Electronic Digital Net for Olympics By MIRON VAROUHAKIS      ATHENS, Greece (AP) -- If you're planning on attending this month's Olympic Games, you'd best be careful what you say and do in public.    Software will be watching and listening..."
23,"ReganBooks

ReganBooks was an American bestselling imprint or division of HarperCollins book publishing house (parent company is News Corporation) headed by editor and publisher Judith Regan started in 1994 and ended in late 2006. During its existence Regan was called by LA Weekly the world's most successful publisher. The division reportedly earned $120 million a year. ReganBooks focused on celebrity authors and controversial topics sometimes from recent tabloids."
24,"Invictus Games

Invictus Games is an independent Hungarian video game development studio founded in 1992 by Tamás Kozák and Ákos Diviánszky. They specialize in racing simulation games like Project Torque Street Legal and Street Legal Racing Redline Insane and onEscapee. Their publishers include Codemasters Activision 1C Gamepot and Joyzone."
25,"Website Lets Users Scout the Red Planet from Home (SPACE.com) SPACE.com - For those who want to explore Mars but cant wait for a spacecraft to take them there, NASA scientists have reformulated a website that lets the general public search data and images from previous missions.

Website Lets Users Scout the Red Planet from Home (SPACE.com) SPACE.com - For those who want to explore Mars but cant wait for a spacecraft to take them there, NASA scientists have reformulated a website that lets the general public search data and images from previous missions."
26,"Deaths Raise Fears Over Stomach Stapling Surgery By LINDA A. JOHNSON    (AP) -- An obese Massachusetts woman and her 8-month-old fetus died of complications 18 months after stomach-stapling surgery, an apparent first that is leading to warnings about the risks of pregancy soon after the surgery...

Deaths Raise Fears Over Stomach Stapling Surgery By LINDA A. JOHNSON    (AP) -- An obese Massachusetts woman and her 8-month-old fetus died of complications 18 months after stomach-stapling surgery, an apparent first that is leading to warnings about the risks of pregancy soon after the surgery..."
27,"Calla Records

Calla Records was a small New York City-based independent black owned Soul record label run by Nate McCalla and active c. 1965 to 1977.McCalla was an associate and bodyguard for Morris Levy who headed Roulette Records which had known ties to the mob.Artists recording for the label include J.J. Jackson The Sandpebbles Little Jerry Williams (aka Swamp Dogg) Jean Wells The Emotions The Fuzz Lonnie Youngblood The Persuaders and Geraldine Hunt among others."
28,"Lokalbanen

Lokalbanen A/S (The Local Railway abbreviated LB) is a Danish company responsible for train operation and related passenger services on five local railways north of Copenhagen Denmark."
