id,text
1,"Hope International (Christian microfinance)

Hope International is a Christ-centered microfinance organization that offers micro-loans and savings programs to poor individuals of all faiths in third world countries. The organization has assisted over 400000 entrepreneurs since it began operations in 1997 and approximately 82% of those clients are women. Hope is a non profit organization based in Lancaster PA."
2,"Target Canada

Target Canada Co. is the Canadian subsidiary of United States-based discount department store chain Target Corporation formed in 2011 to oversee the company's Canadian operations."
3,"Is the song, ""Puff the Magic Dragon"" really about drugs?

Snopes.com says NO, it's about the loss of childhood innocence."
4,"Why is water transparent?

Water is transparent cause it was meant to be like that."
5,"7digital

7digital Limited is a privately held digital music platform providing access to over 23 million legal tracks. The company powers digital music services for consumers developers and a wide range of partners around the world that are mainly from such sectors as consumer electronics automotive carriers or retailers as well as music including record companies and artists. They also work with fashion and FMCG brands."
6,"REVIEW: Windows XP Battens Down Hatches in Latest Patch By MATTHEW FORDAHL     (AP) -- With the latest update to Microsoft Corp. (MSFT)'s Windows XP operating system, personal computers will soon join parents, bosses, teachers and spouses as a source of nagging in your life...

REVIEW: Windows XP Battens Down Hatches in Latest Patch By MATTHEW FORDAHL     (AP) -- With the latest update to Microsoft Corp. (MSFT)'s Windows XP operating system, personal computers will soon join parents, bosses, teachers and spouses as a source of nagging in your life..."
7,"What exactly is the difference between stock options and stock grants?

Stock option grants and stock grants are two forms of compensation often offered as incentives in addition to base salary offered to a newly hired employee. This practice is especially common in the high tech industry. \n\nStock options are contracts that allow you to buy or sell specific amount of a particular stock at a certain price within a set period of time. The set price is called the strike price. When you (the stock option holder) make use of your right to buy/sell stock according to the terms of the option, you are exercising the option. Call options are options giving you the right to buy stock. Put options are options giving you the right to sell stock. Employers grant call options to employees. Let's take an example: Let's say you are hired by Google and they offer you options to buy 100 shares of Google stock at $400 within the next 5 years. This stock option gives you the right to buy 100 shares of Google stock at exactly $400 any time within the next 5 years. Let's say it's after four years now. Suppose Google stock is at $300 now, now your options are worthless, because you could buy Google stock in the market for $300, much less than the $400 price offered by your stock option. Now suppose Google stock is at $500 now, then if you exercise your option, you could buy 100 shares at $400. Then you can turn around and sell it on the stock market for the current price of $500, making a $100*100=$10000 profit. So the stock option is basically not worth anything if currently the stock price is lower than your option strike price. But as long as your option has not expired, it's possible that the stock price could go above your strike price and make your stock options worth something.\n\nStock grants are simpler to understand. The employer gives you some shares of stock for free. So let's use the Google example again. Suppose Google hired you and gave you 100 shares in a stock grant. Now you own 100 shares of Google stock. At anytime, you could sell that stock for whatever price it is trading at on the stock market.\n\nStock option and stock grants are usually offered on terms called vesting. That means that you are not given the full amount of options or stock right away, but rather the employer gives it to you over time. A common vesting schedule is vesting over four years, so that you get 1/4 of the stock or options offered after the first, second, third, and fourth year you have been at the company. This is done to give employees an incentive to stay at the company."
8,"why is the earth round?

The Earth is round because it is a large body, and gravity tends to make large bodies round because that is the gravitational efficient configuration for the matter to be in.\n\nThere are a few reasons you can encounter non-round bodies in space:\n\n1) the object is small (for example asteroids), so it's gravity has less say proportionally on the shape\n\n2) It has experienced a catastrophic collision with a large body\n\n3) It is under very strong rotational or tidal forces\n\n4) It is expelling matter/energy in the form of cosmic jets, nova ejecta, etc."
9,"Kids Can Press

Kids Can Press is a Canadian owned publisher of children's books with an award-winning list of over 500 picture books non-fiction and fiction titles for toddlers to young adults."
10,"what is the cause for headaches

There are several possible causes for headaches.  According to a Chiropractor friend of mine, dehydration is a major cause.  For example, too many Margaritas one night can leave you seriously dehydrated, hung over and with a headache the next day.\nOther causes are stress, allergies, etc. Dr. Hoffman's reference below explains some of these in detail."
11,"Beats Electronics

Beats Electronics LLC is an American producer of audio products and equipment headquartered in Santa Monica California. The company was founded by rapper and hip-hop producer Andre Dr. Dre Young and Interscope-Geffen-A&M Records chairman Jimmy Iovine and primarily produces products under the brand Beats by Dr. Dre."
12,"Health PEI

Health PEI is the single health authority for the Canadian province of Prince Edward Island."
13,"Archimage

Archimage is a Houston-based visual arts studio that has used its experience in computer-based architecture to specialize in Serious Video Game development for the medial research community. Archimage created Escape From Diab and Nanoswarm: Invasion from Inner Space two multi-million dollar PC games funded by the National Institutes of Health to combat obesity and type 2 diabetes in children.[citation needed]"
14,"Dino-Size Spurt: T. Rex Teens Gained 5 Pounds a Day New analysis of fossil bones indicates that adolescent &lt;i&gt;Tyrannosaurus rex&lt;/i&gt; dinosaurs grew extremely rapidly, quickly reaching gigantic size.

Dino-Size Spurt: T. Rex Teens Gained 5 Pounds a Day New analysis of fossil bones indicates that adolescent &lt;i&gt;Tyrannosaurus rex&lt;/i&gt; dinosaurs grew extremely rapidly, quickly reaching gigantic size."
15,"Roses Theatre

The Roses Theatre is an art-house cinema and live performance venue located in the centre of Tewkesbury Gloucestershire England. Its main auditorium seats 375 and accommodates 35mm film / digital projection as well as live performance. It offers patrons a wide range of music theatre film and dance. The seating layout is based on the Continental system avoiding the loss of seats on the axis of the theatre."
16,"Mitsubishi Electric United States

Mitsubishi Electric United States (officially Mitsubishi Electric US Holdings Inc.) is the principal subsidiary of Mitsubishi Electric in the United States. It is headquartered in Cypress California and was incorporated in 2002. It has nearly 2500 employees in more than 50 locations throughout North America. Its five main subsidiaries are: Mitsubishi Electric Power Products Inc.; Mitsubishi Electric US Inc.; Mitsubishi Electric Automotive America Inc.; Mitsubishi Electric Automation."
17,"What do you think of the Maury Povich Show?

it's cool - much better than sally jesse. plus connie is hot."
18,"What are some tips on finding a good mortgage broker?

the most basic thing is to have someone you have a decent amount of trust for. someone recommended by a friend etc.\nthe things you have to look for are:<br />\n1. top priority is seeing that the broker can actually get your loan on time. many deals fall through b/c the broker cannot get the deal through on time and has less control than the original lender<br />\n2. secondary priority is to see that they have access to competitive rates. not all brokers have access to all sources and rates, although most of them will be similar.<br />\n3. you need to see that the broker is someone you trust to get you the best rate regardless of how much money they make off the transaction."
19,"Benhamou will resign as chairman of PalmSource Eric Benhamou will resign as chairman of PalmSource Inc. on Oct. 28, the company announced Friday. The company said it expects he will continue in his role as chairman of sister company PalmOne Inc.

Benhamou will resign as chairman of PalmSource Eric Benhamou will resign as chairman of PalmSource Inc. on Oct. 28, the company announced Friday. The company said it expects he will continue in his role as chairman of sister company PalmOne Inc."
